Actual_Sales,Predicted_Sales
6954,6893.616
6762,6730.7993
6473,6311.0947
6814,6569.3853
4690,4982.9517
5555,5419.853
5682,5314.65
5789,5383.743
5181,5282.4956
5851,6014.4814
6118,5814.957
8080,8235.143
7413,7217.7783
7567,7196.3745
6751,6835.9795
7063,6698.013
5959,5672.752
5535,5572.171
5057,5220.1963
5472,5678.213
5613,5507.351
4922,5356.7676
5092,5282.395
7858,8415.423
7194,7192.9863
7044,7182.036
6816,6733.5337
6168,6573.472
4982,5367.346
5813,5623.959
5202,5260.8594
5546,5614.4565
5610,5311.612
5206,5529.037
5166,5245.5537
8609,8580.929
8592,8542.579
8711,8558.556
7346,6963.3984
7128,6715.862
5610,5439.2104
5968,5678.62
5399,5286.8613
5617,5262.6353
5802,5442.926
4655,4789.8574
5714,5431.8604
8252,8506.919
7393,6969.8623
7960,7210.1777
7534,6570.0996
4758,5031.8726
4653,4992.6123
5141,5108.88
5766,5397.901
4959,4853.648
4542,4842.3384
4845,4796.981
7075,7375.694
6642,6619.7456
6537,6543.3477
6448,6285.246
6357,6811.1465
4854,5263.4834
5666,5359.109
5572,5235.512
5095,5092.1587
5036,4875.9355
5042,5234.7134
5027,5109.606
7673,7799.436
6129,6628.3228
8140,7211.6875
5862,6057.5522
6344,6342.258
4935,5205.9746
5287,5080.21
4927,4984.5347
4318,4663.047
5466,5029.09
5134,4916.931
5298,5094.6924
7116,7246.7935
7092,6641.703
6815,6173.6133
5413,5746.811
6760,6500.6704
5806,5870.1826
6820,6544.6626
5224,5484.282
6821,6469.7964
6406,6410.201
5457,5340.2373
8131,8285.571
7737,7424.2725
7135,6950.7144
5741,6106.262
6328,6427.8755
5948,5262.9243
5495,5436.6885
4871,4989.2627
4918,4996.016
5361,5031.051
5120,5283.183
5423,5221.7847
8044,7867.0347
6618,6686.1177
6887,6542.0933
6752,6296.6577
5359,5983.5806
5349,5369.805
6262,5803.499
5193,5286.248
6014,6259.736
5853,6172.097
6603,6475.8677
9380,8922.715
7930,7691.1206
6270,6587.682
7259,6968.9595
6312,6538.7197
6112,5800.221
5575,5683.15
5806,5244.5317
5632,5336.898
5530,5161.2964
5152,5493.988
6205,5974.7144
8744,8565.158
7639,7122.161
7176,6893.9565
6645,6596.264
6612,6636.6
5647,5452.322
6394,6126.053
6240,5950.177
6904,6330.9185
6226,6152.637
6874,7269.3667
8144,7991.1914
10671,10114.005
10130,9066.924
9454,8976.317
9598,8492.747
7305,7228.964
7122,6954.981
7007,6872.316
6956,6781.7114
7110,6962.502
6816,6494.47
7050,6896.3594
7923,8043.9995
12474,12016.887
12677,10869.28
11964,10656.221
9342,9888.877
10286,10178.65
10126,9450.676
12412,12393.062
4689,4648.5264
7653,6960.851
5877,5787.616
8429,8453.21
3770,3871.473
